,banglaname,banglishnames
7067,শশীকলা,Shashikala
7068,শামসুল হুদা,Shamsul Huda
7069,রয় শেইডার,Roy Scheider
7070,শেল্ডন লি গ্ল্যাশো,Sheldon Lee Glashow
7071,সত্যব্রত মুখার্জী,Satyabrata Mookherjee
7072,সমর বন্দ্যোপাধ্যায়,Samar Banerjee
7073,সাইফুর রহমান,Saifur Rahman
7074,কানু সান্যাল,Kanu Sanyal
7075,সিলভিয়া প্ল্যাথ,Sylvia Plath
7076,সুধীরা দাস,Sudhira Das
7077,দেলফিন সেরিগ,Delphine Seyrig
7078,সৈয়দ ইশতিয়াক আহমেদ,Syed Ishtiaq Ahmed
7079,সৈয়দা আনোয়ারা তৈমূর,Anwara Taimur
7080,সৈয়দা জোহরা তাজউদ্দীন,Syeda Zohra Tajuddin
7081,মিকি স্টুয়ার্ট,Micky Stewart
7082,কনরাড হান্ট,Conrad Hunte
7083,হারউইগ কোগেলনিক,Herwig Kogelnik
7084,ওয়াকার হাসান,Waqar Hasan
7085,হীরেন ভট্টাচার্য,Hiren Bhattacharyya
7086,হুসাইন আহমেদ,Hussain Ahmed
7087,মাহমুদ হোসেন,Mahmood Hussain
7088,হ্যারি গ্রেগ,Harry Gregg
7089,শাইনি আব্রাহাম,Shiny Abraham
7090,কল্পনা,Kalpana
7091,শাহনাজ সালিম মালিক,Shahnaz Saleem Malik
7092,সঞ্জয় মাঞ্জরেকার,Sanjay Manjrekar
7093,দেবকী পণ্ডিত,Devaki Pandit
7094,চিত্র লেখা যাদব,Chitra Lekha Yadav
7095,অচ্যুত সামন্ত,Achyuta Samanta
7096,অঞ্জনা,Anjana Sultana
7097,অনিল চৌধুরী,Anil Chaudhary
7098,কৌশিক অমলিন,Kaushik Amalean
7099,আতাউর রহমান,Atta-ur-Rehman
7100,তরণ আদর্শ,Taran Adarsh
7101,আবুল কালাম আজাদ,Abul Kalam Azad
7102,মিনহাজুল আবেদীন নান্নু,Minhajul Abedin
7103,আমির খান,Aamir Khan
7104,কিথ আর্থারটন,Keith Arthurton
7105,আর্মিন স্টাইগেনবার্গার,Armin Steigenberger
7106,আলী সালমান,Ali Salman
7107,তৌকির আহমেদ,Tauquir Ahmed
7108,ইউজিন কাসপারস্কি,Eugene Kaspersky
7109,ইকবালুর রহিম,Iqbalur Rahim
7110,ইয়ুর্গেন কোহ্‌লার,Jürgen Kohler
7111,ইরা স্যাক্স,Ira Sachs
7112,এ কে এম এনামুল হক শামীম,AKM Enamul Haque Shamim
7113,এবিএম সোহেল রশিদ,ABM Sohel Rashid
7114,এম মোখলেসুর রহমান চৌধুরী,Mukhlesur Rahman Chowdhury
7115,এলিজাবেথ হার্লি,Elizabeth Hurley
7116,ওয়াচৌস্কি ভ্রাতৃদ্বয়,The Wachowskis
7117,উইলি ওয়াটসন,Willie Watson
7118,ওয়াদুদ ভূইয়া,Wadud Bhuiyan
7119,স্টিভ ওয়াহ,Steve Waugh
7120,কামাল আহমেদ,Kamal Ahmed
7121,ডেভ কালাহান,Dave Callaghan
7122,কুশাং শেরপা,Kushang Sherpa
7123,কে.আর.এস.-ওয়ান,KRS-One
7124,কেন রাদারফোর্ড,Ken Rutherford
7125,কেভিন পলসন,Kevin Poulsen
7126,অ্যারন কৌক,Aaron Kwok
7127,খালেদ হোসেইনি,Khaled Hosseini
7128,গি ফোর্জে,Guy Forget
7129,গ্যারি প্যালিস্টার,Gary Pallister
7130,চম্পা,Champa
7131,চুনি কোটাল,Chuni Kotal
7132,জাকির নায়েক,Zakir Naik
7133,জেমস সাদারল্যান্ড,James Sutherland
7134,ওয়েন জেমস,Wayne James
7135,সারাহ জেসিকা পার্কার,Sarah Jessica Parker
7136,জোবেরা রহমান লিনু,Zobera Rahman Linu
7137,জোস ম্যানুয়েল ডি লা তোরে,José Manuel de la Torre
7138,রবার্ট ডাউনি জুনিয়র,Robert Downey Jr.
7139,ডাগ লাইম্যান,Doug Liman
7140,অরবিন্দ ডি সিলভা,Aravinda de Silva
7141,ডেনিস আরউইন,Denis Irwin
7142,ডেভিড মিলেন্স,David Millns
7143,ভায়োলা ডেভিস,Viola Davis
7144,মাইকেল ডেল,Michael Dell
7145,থারা কল্যাণ,Thara Kalyan
7146,দয়া শঙ্কর পাণ্ডে,Daya Shankar Pandey
7147,দি আন্ডারটেকার,The Undertaker
7148,পারভীন সুলতানা দিতি,Parveen Sultana Diti
7149,দিমিত্রি মেদভেদেভ,Dmitry Medvedev
7150,দীপিকা চিখালিয়া,Dipika Chikhlia
7151,দেবশংকর হালদার,Debshankar Haldar
7152,ধনঞ্জয় চট্টোপাধ্যায়,Dhananjoy Chatterjee
7153,নচিকেতা চক্রবর্তী,Nachiketa Chakraborty
7154,নরম্যান হোয়াইটসাইড,Norman Whiteside
7155,নাইজেল শর্ট,Nigel Short
7156,নাজিয়া হাসান,Nazia Hassan
7157,নূরজাহান বেগম মুক্তা,Nurjahan Begum Mukta
7158,আদিত্য পঞ্চোলি,Aditya Pancholi
7159,পদ্মিনী কোলহাপুরী,Padmini Kolhapure
7160,পরগট সিং,Pargat Singh
7161,পরেশ মাইতি,Paresh Maity
7162,পল হেইম্যান,Paul Heyman
7163,পলাশ সেন,Palash Sen
7164,জেরেমি পিভেন,Jeremy Piven
7165,পীযূষ গঙ্গোপাধ্যায়,Pijush Ganguly
7166,পেত্র পোরাশেঙ্কা,Petro Poroshenko
7167,প্যাট ক্যাশ,Pat Cash
7168,প্রকাশ রাজ,Prakash Raj
7169,ফারাহ খান,Farah Khan
7170,ফিলিপ হেনশার,Philip Hensher
7171,ডেবোরা ফ্যালকনার,Deborah Falconer
7172,অ্যাঙ্গাস ফ্রেজার,Angus Fraser
7173,বাশার আল-আসাদ,Bashar al-Assad
7174,গামিনি বিক্রমাসিংহে,Gamini Wickremasinghe
7175,মেরিয়াম বেলিনা,Meriam Bellina
7176,ব্রায়ান সিংগার,Bryan Singer
7177,ব্রুক শিল্ডস,Brooke Shields
7178,ব্র্যান্ডন লি,Brandon Lee
7179,বিশাল ভারদ্বাজ,Vishal Bhardwaj
7180,ভিকি ভেট,Vicky Vette
7181,শাকুর মজিদ,Shakoor Majid
7182,মনপ্রীত আখতার,Manpreet Akhtar
7183,দীপু মনি,Dipu Moni
7184,মনোজ যোশী,Manoj Joshi
7185,মাইক ফোলি,Mick Foley
7186,মাইকেল বে,Michael Bay
7187,টিম মানটন,Tim Munton
7188,মামনুন রহমান,Mamnoon Rahman
7189,মারিয়া মারকেডার,Maria Mercader
7190,মার্ক ওয়াহ,Mark Waugh
7191,মার্গি সাথী,Margi Sathi
7192,টম মুডি,Tom Moody
7193,মুহাম্মাদ বাখতিয়ার ওয়ান চিক,Muhammad Bakhtiar Wan Chik
7194,স্যাম মেন্ডেজ,Sam Mendes
7195,ফরিদা মোমান্দ,Farida Momand
7196,মোসাদ্দেক হোসেন বুলবুল,Mosaddek Hossain Bulbul
7197,মোহাম্মদ আকবর হোসেন,Mohammad Akbar Hossain
7198,মোহাম্মদ হুমায়ুন কবির,Mohammad Humayun Kabir
7199,ক্রেগ ম্যাকডারমট,Craig McDermott
7200,মার্লি ম্যাটলিন,Marlee Matlin
7201,ক্রেগ ম্যাথুজ,Craig Matthews
7202,রনিত রায়,Ronit Roy
7203,বুরকেরি রমন,Woorkeri Raman
7204,রাই,Raí
7205,ফ্রেদ্রিক রাইনফেল্‌ৎ,Fredrik Reinfeldt
7206,জে কে রাউলিং,J. K. Rowling
7207,রাধা,Radha
7208,ডেভ রান্ডল,Dave Rundle
7209,চম্পকা রামানায়েকে,Champaka Ramanayake
7210,মার্ক রাশমেয়ার,Mark Rushmere
7211,রাশিদ আসকারী,Rashid Askari
7212,রুই বারোস,Rui Barros
7213,ডায়ান লেন,Diane Lane
7214,শর্মিষ্ঠা মুখার্জি,Sharmistha Mukherjee
7215,শানাইয়া টোয়েইন,Shania Twain
7216,শাহরুখ খান,Shah Rukh Khan
7217,লক্ষ্মণ শিবরামকৃষ্ণান,Laxman Sivaramakrishnan
7218,শিলাজিৎ মজুমদার,Silajit Majumder
7219,শেরিং তোবগে,Tshering Tobgay
7220,শোয়েব চৌধুরী,Salah Choudhury
7221,শহীদুল আলম সাচ্চু,Shahidul Alam Sachchu
7222,সালমান আল-খলিফা,Salman bin Ibrahim Al Khalifa
7223,সালমান খান,Salman Khan
7224,মনিন্দর সিং,Maninder Singh
7225,সীমা বিশ্বাস,Seema Biswas
7226,সুধা চন্দ্রন,Sudha Chandran
7227,সুনেত্রা গুপ্ত,Sunetra Gupta
7228,সুভাষিণী গিরিধর,Subhashni Giridhar
7229,সুরেখা যাদব,Surekha Yadav
7230,সুলতান বিন খলিফা আল নাহিয়ান,Sultan bin Khalifa Al Nahyan
7231,সৈয়দ জাফর নাদেরি,Sayed Jafar Naderi
7232,বেন স্টিলার,Ben Stiller
7233,আনিসুল হক,Anisul Hoque
7234,অ্যান্ড্রু হাডসন,Andrew Hudson
7235,হিরোনোবু নোমুরা,Hironobu Nomura
7236,গিডিওন হেই,Gideon Haigh
7237,হীরা দেবী বাইবা,Hira Devi Waiba
7238,অঞ্জলি ইলা মেনন,Anjolie Ela Menon
7239,অনুপম সেন,Anupam Sen
7240,অ্যান্টনি ফৌসি,Anthony Fauci
7241,অ্যালেক্স কারগিল,Alex Caygill
7242,আজহারুল হক,Azharul Haque
7243,আতাউর রহমান খান কায়সার,Ataur Rahman Khan Kaiser
7244,আনিসুর রহমান আনিস,Anisur Rahman Anis
7245,আবদুর রহমান ওয়াহিদ,Abdurrahman Wahid
7246,আব্বাস কিয়রোস্তামি,Abbas Kiarostami
7247,আব্বাস কিয়রোস্তামির চলচ্চিত্র,Abbas Kiarostami filmography
7248,আমজাদ খান,Amjad Khan
7249,আমির হোসেন আমু,Amir Hossain Amu
7250,আরতি সাহা,Arati Saha
7251,রওশন আরা,Rawshan Ara
7252,আরিয়ে ওয়ারশেল,Arieh Warshel
7253,আলি বাবা,Ali Baba
7254,আসকারি মিয়া ইরানী,Askari Mian Irani
7255,আহমদ বিন হামাদ আল-খালিলি,Ahmed bin Hamad al-Khalili
7256,মওদুদ আহমেদ,Moudud Ahmed
7257,ইউনিস ডিসুজা,Eunice de Souza
7258,ইকবাল বাহার চৌধুরী,Iqbal Bahar Chowdhury
7259,ইনামুল হ,Inamul Haque
7260,একেএম মাইদুল ইসলাম,AKM Maidul Islam
7261,এখলাসউদ্দিন আহমদ,Ekhlasuddin Ahmed
7262,এড ভেন দেন হেউভেল,Ed van den Heuvel
7263,এম এম রহমত উল্লাহ,M. M. Rahmatullah
7264,এম. আজিজুল হক,M. Azizul Haq
7265,এলান কে,Alan Kay
7266,ওয়াঙ্গেরী মাথেই,Wangari Maathai
7267,স্যাম ওয়াটারস্টন,Sam Waterston
7268,রাকেল ওয়েলচ,Raquel Welch
7269,ওসমান ফারুক,Osman Faruk
7270,কপিল কৃষ্ণ ঠাকুর,Kapil Krishna Thakur
7271,পলিন কলিন্স,Pauline Collins
7272,বব কাউপার,Bob Cowper
7273,কাজী আবু জাফর সিদ্দিকী,Kazi Abu Zafar Siddique
7274,কাজী সিরাজুল ইসলাম,Kazi Sirajul Islam
7275,জেমস কান,James Caan
7276,কাবুস বিন সাইদ আল সাইদ,Qaboos bin Said
7277,কার্লোস স্লিম,Carlos Slim
7278,কিপ থর্ন,Kip Thorne
7279,কে এম ওবায়দুর রহমান,KM Obaidur Rahman
7280,কেতকী কুশারী ডাইসন,Ketaki Kushari Dyson
7281,জুলি ক্রিস্টি,Julie Christie
7282,সুলতান খান,Sultan Khan
7283,খোরশেদ আরা হক,Khorshed Ara Haque
7284,গাও শিংশিয়ান,Gao Xingjian
7285,নরম্যান গিফোর্ড,Norman Gifford
7286,গুলাম আলী,Ghulam Ali
7287,স্যাভয়ের রাজকন্যা মারিয়া গ্যাব্রিয়েলা,Princess Maria Gabriella of Savoy
7288,ডেনিস গ্যামসি,Dennis Gamsy
7289,চিপ টেইলর,Chip Taylor
7290,চেনচিনিয়েন,Tony Tan
7291,জঁ-মারি গুস্তাভ ল্য ক্লেজিও,J. M. G. Le Clézio
7292,জন ম্যাক্সওয়েল কুতসি,J. M. Coetzee
7293,জন লিভার,John Lever
7294,জন লেনন,John Lennon
7295,জর্জ অ্যাকারলফ,George Akerlof
7296,জাভেদ আখতার,Javed Akhtar
7297,জোয়াকিম ফ্রাংক,Joachim Frank
7298,টনি কোজিয়ার,Tony Cozier
7299,ব্রায়ান টাবের,Brian Taber
7300,জগমোহন ডালমিয়া,Jagmohan Dalmiya
7301,ডেনিস টিটো,Dennis Tito
7302,ডেনিস ল,Denis Law
7303,মাইক ডেনিস,Mike Denness
7304,ডেভিড শেফার্ড,David Shepherd
7305,ডেভিড হ্যামিলটন কখ,David Koch
7306,তরণী দেবনাথ,Tarani Debnath
7307,তাবারে ভাযকেজ,Tabaré Vázquez
7308,ত্রিদিব মিত্র,Tridib Mitra
7309,থমাস এ. স্টিত্‌জ,Thomas A. Steitz
7310,দর্শনা জাভেরী,Darshana Jhaveri
7311,দেবী রায়,Debi Roy
7312,দেলাওয়ার হোসাইন সাঈদী,Delwar Hossain Sayeedi
7313,দ্বিতীয় মার্গারেথ,Margrethe II of Denmark
7314,নাসির আহমেদ,Nasir Ahmed
7315,শেখ নিয়ামত আলী,Sheikh Niamat Ali
7316,নীলু,Neelo
7317,নুরসুলতান নাজারবায়েভ,Nursultan Nazarbayev
7318,শরদ পওয়ার,Sharad Pawar
7319,পদ্মা সচদেব,Padma Sachdev
7320,আল পাচিনো,Al Pacino
7321,শাহনায পাহলভি,Shahnaz Pahlavi
7322,পিনাকী চৌধুরী,Pinaki Chaudhuri
7323,পীযুষ কান্তি ভট্টাচার্য্য,Pijush Kanti Bhattacharjee
7324,প্যাট্রিক স্টুয়ার্ট,Patrick Stewart
7325,ইরাপল্লী প্রসন্ন,E. A. S. Prasanna
7326,রিচার্ড প্রায়র,Richard Pryor
7327,ফখরুদ্দীন আহমদ,Fakhruddin Ahmed
7328,পিটার ফন্ডা,Peter Fonda
7329,ফারুক আলম,Faruque Alam
7330,ফারুক আহমদ খান লেগারি,Farooq Leghari
7331,জিওফ্রে বয়কট,Geoffrey Boycott
7332,ক্রিস বল্ডারস্টোন,Chris Balderstone
7333,বাঙালি সিং,Bengali Singh
7334,এডি বার্লো,Eddie Barlow
7335,বিকাশ ভট্টাচার্য,Bikash Bhattacharjee
7336,ইয়াসার বুয়ুকানিত,Yaşar Büyükanıt
7337,বুরহানউদ্দিন রব্বানী,Burhanuddin Rabbani
7338,বুলবন ওসমান,Bulbon Osman
7339,এনিড বেকওয়েল,Enid Bakewell
7340,ব্রায়ান অলড্রিজ,Brian Aldridge
7341,ব্রায়ান ডেভিড জোসেফসন,Brian Josephson
7342,ব্রুস লি,Bruce Lee
7343,জেমস ব্রোলিন,James Brolin
7344,ভারতী মুখার্জী,Bharati Mukherjee
7345,ভি বিশ্বনাধন,Paris Viswanathan
7346,মামনুন হুসাইন,Mamnoon Hussain
7347,ইকবাল মাহমুদ,Iqbal Mahmud
7348,মাহমুদুল হক,Mahmudul Haque
7349,প্রবীর মিত্র,Prabir Mitra
7350,মিশেল টেমার,Michel Temer
7351,মু. আলীম উদ্দিন,Mohammad Alim Uddin
7352,মুহাম্মদ ইউনূস,Muhammad Yunus
7353,মুহাম্মদ মোশাররফ হোসেন,Md. Mosharraf Hossain
7354,মোঃ আব্দুল মুক্তাদির,Md Abdul Muktadir
7355,মোজাম্মেল হোসেন,Mozammel Hossain
7356,মোরশেদ খান,Morshed Khan
7357,মোহাম্মদ আবুল মঞ্জুর,Mohammad Abdul Monjur
7358,মোহাম্মদ সেলিম,Mohammad Selim
7359,ডিক মোৎজ,Dick Motz
7360,ম্যালকম গ্রে,Malcolm Gray
7361,যামিনী কৃষ্ণমূর্তি,Yamini Krishnamurthy
7362,কে জে যেসুদাস,K. J. Yesudas
7363,যোসেফ লিওনার্দ গোল্ডস্টেইন,Joseph L. Goldstein
7364,রমেশ চন্দ্র সেন,Ramesh Chandra Sen
7365,ক্যাথরিন রস,Katharine Ross
7366,রিঙ্গো স্টার,Ringo Starr
7367,রুহুল আমিন,Ruhul Amin
7368,লক্ষ্মীকান্ত-প্যায়ারেলাল,Laxmikant–Pyarelal
7369,ডেভিড লার্টার,David Larter
7370,পিটার লিভার,Peter Lever
7371,লীলা নায়ডু,Leela Naidu
7372,লুৎফুল হাই সাচ্চু,Lutful Hai Sachchu
7373,শবনম,Shabnam
7374,শাফায়াত জামিল,Shafaat Jamil
7375,শামসুজ্জামান খান,Shamsuzzaman Khan
7376,শামসুর রহমান শরীফ,Shamsur Rahman Sherif
7377,লেইলা এ. শারাফ,Leila A. Sharaf
7378,শাহানারা বেগম,Shahanara Begum
7379,শুভ্রা মুখার্জি,Suvra Mukherjee
7380,শেখ আবদুস সালাম,Sheikh Abdus Salam
7381,শ্যামল কুমার সেন,Shyamal Kumar Sen
7382,মাইক শ্রিম্পটন,Mike Shrimpton
7383,দিলীপ সরদেশাই,Dilip Sardesai
7384,আবদুল্লাহ আবু সায়ীদ,Abdullah Abu Sayeed
7385,সালমান আল-ফরজ,Salman Al-Faraj
7386,সুকুমারী,Sukumari
7387,সুলেমান খান,Suleman Khan
7388,রেক্স সেলার্স,Rex Sellers
7389,সেলিনা বাহার জামান,Selina Bahar Zaman
7390,সৈয়দ জে. আর. মোদাচ্ছির হোসেন,J. R. Mudassir Husain
7391,সৈয়দ মোহাম্মদ কায়সার,Syed Mohammad Qaisar
7392,থেলমা স্কুনমেকার,Thelma Schoonmaker
7393,কিথ স্ট্যাকপোল,Keith Stackpole
7394,আনোয়ারা সৈয়দ হক,Anwara Syed Haq
7395,ডেভিড হলফোর্ড,David Holford
7396,জন হার্ট,John Hurt
7397,হার্বি হ্যানকক,Herbie Hancock
7398,রাউল হুলিয়া,Raul Julia
7399,ব্রায়ান হ্যাস্টিংস,Brian Hastings
7400,নেলসন অ্যালগ্রেন,Nelson Algren
7401,দুর্গাবাঈ দেশমুখ,Durgabai Deshmukh
7402,অ্যার্জে,Hergé
7403,বার্ল আইভস,Burl Ives
7404,আন্দ্রেই গ্রোমিকো,Andrei Gromyko
7405,আলাঁ পোঅ্যার,Alain Poher
7406,আশাপূর্ণা দেবী,Ashapoorna Devi
7407,আসাফ যেয়নালি,Asaf Zeynally
7408,উ থান্ট,U Thant
7409,উইলিয়াম মন্টগোমারি ওয়াট,W. Montgomery Watt
7410,এডওয়ার্ড লাউরি টাটম,Edward Tatum
7411,ওয়ালেস স্টেগ্‌নার,Wallace Stegner
7412,টাপি ওয়েন-স্মিথ,Tuppy Owen-Smith
7413,এলিয়া কাজান,Elia Kazan
7414,কাজী আনোয়ারুল হক,Kazi Anwarul Haque
7415,কাজী কাদের নেওয়াজ,Kazi Kader Newaj
7416,কানাইলাল ভট্টাচার্য,Kanailal Bhattacharjee
7417,কোয়ামে এনক্রুমাহ,Kwame Nkrumah
7418,ডন ক্লেভার্লি,Don Cleverley
7419,এম. জে. গোপালন,M. J. Gopalan
7420,রনি গ্রিভসন,Ronnie Grieveson
7421,রল্ফ গ্র্যান্ট,Rolph Grant
7422,জাহান তালিশিন্সকায়া,Jahan Talyshinskaya
7423,জ্ঞানপ্রকাশ ঘোষ,Jnan Prakash Ghosh
7424,আর্চি জ্যাকসন,Archie Jackson
7425,জেসিকা ট্যান্ডি,Jessica Tandy
7426,লেন ডার্লিং,Len Darling
7427,ফ্রাঙ্ক ডি কেয়ার্স,Frank De Caires
7428,তালাল বিন আবদুল্লাহ,Talal of Jordan
7429,চন্দ্রাবতী দেবী,Chandrabati Devi
7430,নাথান রোসেন,Nathan Rosen
7431,ফণী শর্মা,Phani Sarma
7432,বনি অ্যান্ড ক্লাইড,Bonnie and Clyde
7433,ম্যাট বাজ্‌বি,Matt Busby
7434,বালামনি আম্মা,Balamani Amma
7435,বিমল রায়,Bimal Roy
7436,বিষ্ণু দে,Bishnu Dey
7437,সিড বুলার,Syd Buller
7438,ভিসেন্তে ফিওলা,Vicente Feola
7439,বিল ভোস,Bill Voce
7440,লামবের্তো মাজ্জোরানি,Lamberto Maggiorani
7441,মার্টিন লিংগস,Martin Lings
7442,ম্যানি মার্টিনডেল,Manny Martindale
7443,ব্রুস মিচেল,Bruce Mitchell
7444,জ্ঞান মুখোপাধ্যায়,Gyan Mukherjee
7445,মুহাম্মদ দাউদ খান,Mohammed Daoud Khan
7446,জেমস মেসান,James Mason
7447,মোহাম্মদ আলী বগুড়া,Mohammad Ali Bogra
7448,জোসেফ এল. ম্যাংকাভিৎস,Joseph L. Mankiewicz
7449,অ্যালবি রবার্টস,Alby Roberts
7450,বিষ্ণুপ্রসাদ রাভা,Bishnu Prasad Rabha
7451,রুডলফ কম্ফনার,Rudolf Kompfner
7452,মারসে রোডোরেডা,Mercè Rodoreda
7453,এরিক রোয়ান,Eric Rowan
7454,লক্ষ্মীপ্রসাদ দেবকোটা,Laxmi Prasad Devkota
7455,লীলা চিটনিস,Leela Chitnis
7456,সবিতা আম্বেডকর,Savita Ambedkar
7457,সানসি মাহমুদ,Sanusi Mahmood
7458,সাব্বির ইউনুসোভিচ ইউনুসোভ,Sabir Yunusov
7459,সি.এন. আন্নাদুরাই,C. N. Annadurai
7460,লাল সিং,Lall Singh
7461,সুবোধ ঘোষ,Subodh Ghosh
7462,সৈয়দ আবদুল রহিম,Syed Abdul Rahim
7463,সোমনাথ লাহিড়ী,Somnath Lahiri
7464,ডিক হাওয়ার্থ,Dick Howorth
7465,হাবিব ইলঘানিয়ান,Habib Elghanian
7466,দত্তারাম হিন্দলেকর,Dattaram Hindlekar
7467,হিলডে ডোমিন,Hilde Domin
7468,হুয়ান হোসে নোগুয়েস,Juan José Nogués
7469,জর্জ হ্যাডলি,George Headley
7470,অমিয় কুমার বাগচী,Amiya Kumar Bagchi
7471,অ্যামেচিও ওর্তেগা,Amancio Ortega
7472,অ্যালান হিগার,Alan J. Heeger
7473,আন্দ্রৌলা হেনরিকস,Androula Henriques
7474,আবদুল কাদের খান,Abdul Qadeer Khan
7475,আবু ওসমান চৌধুরী,Abu Osman Chowdhury
7476,আবুবকর সিদ্দিক,Abubakar Siddique
7477,আবুল আহসান,Abul Ahsan
7478,ফজলে হাসান আবেদ,Fazle Hasan Abed
7479,আব্দুস সালাম তালুকদার,Abdus Salam Talukder
7480,আব্দুস সুবহান,Abdus Sobhan
7481,মুস্তাফা জামান আব্বাসী,Mustafa Zaman Abbasi
7482,আল মাহমুদ,Al Mahmud
7483,অ্যালান আলডা,Alan Alda
7484,আল্লা দেমিডোভা,Alla Demidova
7485,আহমাদু আলি,Ahmadu Ali
7486,ইউসুফ হাবিবি,B. J. Habibie
7487,রফিকুল ইসলাম,Rafiqul Islam
7488,উইনি ম্যান্ডেলা,Winnie Madikizela-Mandela
7489,উয়ে সিলার,Uwe Seeler
7490,উরসুলা অ্যান্ড্রেস,Ursula Andress
7491,এডওয়ার্ড আলবার্ট,Edward Feigenbaum
7492,ডানকান এডওয়ার্ডস,Duncan Edwards
7493,এফ. ডব্লিউ. ডি ক্লার্ক,F. W. de Klerk
7494,এভি আনন্দ,A. V. Anand
7495,ওং তিং ছয়ং,Ong Teng Cheong
7496,ওথেলো সারাইভা দে কার্ভালহো,Otelo Saraiva de Carvalho
7497,পিটার ওয়াকার,Peter Walker
7498,ওয়াজি উদ্দিন খান,Wazi Uddin Khan
7499,খালিদ ওয়াজির,Khalid Wazir
7500,ওয়াহিদা রেহমান,Waheeda Rehman
7501,মাসুদ করিম,Masud Karim
7502,কাজল গুপ্ত,Kajal Gupta
7503,কাজী আনোয়ার হোসেন,Qazi Anwar Hussain
7504,আবু হেনা মোস্তফা কামাল,Abu Hena Mustafa Kamal
7505,ক্লাইড কাম্বারব্যাচ,Clyde Cumberbatch
7506,কেনেথ জি উইলসন,Kenneth G. Wilson
7507,লুইস গসেট জুনিয়র,Louis Gossett Jr.
7508,গাসসান কানাফানি,Ghassan Kanafani
7509,গুরুদাস দাসগুপ্ত,Gurudas Dasgupta
7510,গ্লেন মার্কাট,Glenn Murcutt
7511,জন মাইকেল বিশপ,J. Michael Bishop
7512,জন ম্যাককেইন,John McCain
7513,জামিল উদ্দিন আহমেদ,Jamil Uddin Ahmad
7514,ব্যারি জার্মান,Barry Jarman
7515,বোরহানউদ্দিন খান জাহাঙ্গীর,Burhanuddin Khan Jahangir
7516,জুডে পার্ল,Judea Pearl
7517,জেমস হ্যারিসন,James Harrison
7518,গ্লেন্ডা জ্যাকসন,Glenda Jackson
7519,ডন ডিলিলো,Don DeLillo
7520,রবার্ট ডাউনি সিনিয়র,Robert Downey Sr.
7521,ব্রুস ডার্ন,Bruce Dern
7522,আর্টি ডিক,Artie Dick
7523,তরুণ গগৈ,Tarun Gogoi
7524,তারাপদ রায়,Tarapada Roy
7525,তারেক আজিজ,Tariq Aziz
7526,তারেক সুহিমাত,Tareq Suheimat
7527,দিলারা হাশেম,Dilara Hashem
7528,ধীরাজ চৌধুরী,Dhiraj Choudhury
7529,নূতন,Nutan
7530,নূর মোহাম্মদ শেখ,Nur Mohammad Sheikh
7531,পল পোস্টাল,Paul Postal
7532,পিটার পারফিট,Peter Parfitt
7533,পি. কে. ব্যানার্জি,P. K. Banerjee
7534,ডেভিড পিদি,David Pithey
7535,আলেহানদ্রা পিসারনিক,Alejandra Pizarnik
7536,পোপ ফ্রান্সিস,Pope Francis
7537,পৌলিনুস কস্তা,Paulinus Costa
7538,প্রণব কুমার গগৈ,Pranab Kumar Gogoi
7539,প্রিয়া রাজবংশ,Priya Rajvansh
7540,সৈয়দা রাজিয়া ফয়েজ,Syeda Razia Faiz
7541,ফরিদ মুরাদ,Ferid Murad
7542,অ্যালবার্ট ফিনি,Albert Finney
7543,বশীর আল-হেলাল,Bashir Al Helal
7544,রুথ বুজ্জি,Ruth Buzzi
7545,বুদ্ধদেব গুহ,Buddhadeb Guha
7546,বেলাল মোহাম্মদ,Belal Muhammad
7547,বৈজয়ন্তীমালা,Vyjayanthimala
7548,ব্যারি ব্যারিশ,Barry Barish
7549,ভাকল্যাভ হ্যাভেল,Václav Havel
7550,মইন উদ্দীন আহমদ,Moin Uddin Ahmed
7551,মোহাম্মদ মনিরুজ্জামান,Mohammad Moniruzzaman
7552,মনোয়ারা ইসলাম,Monowara Islam
7553,মাঙ্গাশি আমিরিয়ান,Mangashti Amirian
7554,মারিও বার্গাস ইয়োসা,Mario Vargas Llosa
7555,মার্গারেট হ্যামিলটন,Margaret Hamilton
7556,মালা সিনহা,Mala Sinha
7557,মাহমুদুল ইসলাম,Mahmudul Islam
7558,মিখাইল তাল,Mikhail Tal
7559,পৃথ্বীন্দ্রনাথ মুখোপাধ্যায়,Prithwindra Mukherjee
7560,ম্যারি টাইলার মুর,Mary Tyler Moore
7561,মোজাফফর আহমদ,Muzaffar Ahmed
7562,মোহাম্মদ আছাদুজ্জামান,Mohammad Asaduzzaman
7563,যতীন সরকার,Jatin Sarker
7564,যমুনা,Jamuna
7565,রজার হুইটেকার,Roger Whittaker
7566,রবার্ট উড্রো উইলসন,Robert Woodrow Wilson
7567,রবার্ট ওয়েন্ডেল লাকি,Robert W. Lucky
7568,রবার্ট বব ফ্লয়েড,Robert W. Floyd
7569,জিয়াউর রহমান,Ziaur Rahman
7570,রাজিয়া খান,Razia Khan
7571,এরিক রাসেল,Eric Russell
7572,রিচার্ড এডউইন স্টার্নস,Richard E. Stearns
7573,রুগ্মিনী গোপালকৃষ্ণন,Rugmini Gopalakrishnan
7574,রুসি সুর্তি,Rusi Surti
7575,রবার্ট রেডফোর্ড,Robert Redford
7576,বার্ট রেনল্ডস,Burt Reynolds
7577,হ্যারল্ড রোডস,Harold Rhodes
